,budget,id,popularity,revenue,runtime,title,vote_average,vote_count
42,200000000,10193,59.995418,1066969703,103,Toy Story 3,7.6,4597
43,200000000,534,71.862892,371353001,115,Terminator Salvation,5.9,2463
44,190000000,168259,102.322217,1506249360,137,Furious 7,7.3,4176
45,200000000,72190,81.834855,531865000,116,World War Z,6.7,5560
46,250000000,127585,118.078691,747862775,131,X-Men: Days of Future Past,7.5,6032
48,195000000,81005,43.349855,197687603,114,Jack the Giant Slayer,5.5,2598
50,150000000,9543,62.169881,335154643,116,Prince of Persia: The Sands of Time,6.2,2317
51,180000000,68726,56.523205,407602906,131,Pacific Rim,6.7,4794
52,195000000,38356,28.529607,1123746996,154,Transformers: Dark of the Moon,6.1,3299
53,185000000,217,75.674458,786636033,122,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
54,175000000,105864,51.692953,331926147,93,The Good Dinosaur,6.6,1736
55,185000000,62177,125.114374,538983207,93,Brave,6.7,4641
57,180000000,10681,66.390712,521311860,98,WALL·E,7.8,6296
59,200000000,14161,45.274225,769653595,158,2012,5.6,4903
60,200000000,17979,39.744242,325233863,96,A Christmas Carol,6.6,1095
61,176000003,76757,85.36908,183987723,124,Jupiter Ascending,5.2,2768
62,180000000,258489,42.741719,356743061,109,The Legend of Tarzan,5.5,2430
64,178000000,246655,139.272042,543934787,144,X-Men: Apocalypse,6.4,4721
65,185000000,155,187.322927,1004558444,152,The Dark Knight,8.2,12002
67,175000000,15512,36.167578,381509870,94,Monsters vs Aliens,6,1423
68,140000000,1726,120.725053,585174222,126,Iron Man,7.4,8776
69,170000000,44826,32.319043,185770160,126,Hugo,7,2141
71,145000000,1735,60.034162,401128639,112,The Mummy: Tomb of the Dragon Emperor,5.2,1387
72,175000000,297761,90.23792,745000000,123,Suicide Squad,5.9,7458
73,175000000,2698,27.082182,173000000,96,Evan Almighty,5.3,1151
74,178000000,137113,79.456485,370541256,113,Edge of Tomorrow,7.6,4858
76,175000000,14869,32.852443,302469017,118,G.I. Joe: The Rise of Cobra,5.6,1962
77,175000000,150540,128.655964,857611174,94,Inside Out,8,6560
79,200000000,10138,77.300194,623933331,124,Iron Man 2,6.6,6849
80,170000000,58595,77.178973,396600000,127,Snow White and the Huntsman,5.8,3118
81,180000000,102651,110.620647,758539785,97,Maleficent,7,4496
82,170000000,119450,243.791743,710644566,130,Dawn of the Planet of the Apes,7.3,4410
85,170000000,100402,72.225265,714766572,136,Captain America: The Winter Soldier,7.6,5764
86,165000000,10192,44.041186,752600867,93,Shrek Forever After,6,1959
87,190000000,158852,130.311355,209154322,130,Tomorrowland,6.2,2846
88,165000000,177572,203.73459,652105443,102,Big Hero 6,7.8,6135
89,165000000,82690,62.341073,471222889,108,Wreck-It Ralph,7.1,4570
91,165000000,47933,48.775723,389681935,120,Independence Day: Resurgence,4.9,2491
92,165000000,10191,67.263269,494878759,98,How to Train Your Dragon,7.5,4227
94,170000000,118340,481.098624,773328629,121,Guardians of the Galaxy,7.9,9742
95,165000000,157336,724.247784,675120017,169,Interstellar,8.1,10867
96,160000000,27205,167.58371,825532764,148,Inception,8.1,13752
98,250000000,49051,108.849621,1021103568,169,The Hobbit: An Unexpected Journey,7,8297
100,150000000,4922,60.269279,333932083,166,The Curious Case of Benjamin Button,7.3,3292
101,160000000,49538,3.195174,353624124,132,X-Men: First Class,7.1,5181
102,160000000,131634,127.284427,653428261,137,The Hunger Games: Mockingjay - Part 2,6.6,3984
103,150000000,27022,35.580815,215283742,109,The Sorcerer's Apprentice,5.8,1470
104,160000000,503,21.133748,181674817,99,Poseidon,5.5,583
105,170000000,241259,56.268916,299370084,113,Alice Through the Looking Glass,6.5,1725
106,160000000,810,42.986467,798958165,93,Shrek the Third,6,2278
107,160000000,68735,63.148529,433677183,123,Warcraft,6.3,2268
108,155000000,87101,202.042635,440603537,126,Terminator Genisys,5.8,3631
111,150000000,1858,25.468493,709709780,144,Transformers,6.6,4040
113,150000000,675,78.144395,938212738,138,Harry Potter and the Order of the Phoenix,7.4,5494
114,150000000,674,101.250416,895921036,157,Harry Potter and the Goblet of Fire,7.5,5608
115,150000000,8960,56.758411,624029371,92,Hancock,6.2,2961
116,150000000,6479,70.867401,585349010,101,I Am Legend,6.9,4853
117,150000000,118,53.905592,474968763,115,Charlie and the Chocolate Factory,6.7,3624
118,150000000,2062,65.677399,623722818,111,Ratatouille,7.5,4369
119,150000000,272,115.040024,374218673,140,Batman Begins,7.5,7359
120,150000000,10527,44.141021,603900354,89,Madagascar: Escape 2 Africa,6.2,1810
121,150000000,18360,81.781591,413106170,105,Night at the Museum: Battle of the Smithsonian,5.9,1971
122,150000000,2080,5.954334,373062864,107,X-Men Origins: Wolverine,6.2,4021
124,150000000,109445,165.125366,1274219009,102,Frozen,7.3,5295
126,170000000,76338,99.499595,644571402,112,Thor: The Dark World,6.8,4755
127,150000000,76341,434.278564,378858340,120,Mad Max: Fury Road,7.2,9427
129,150000000,10195,86.493424,449326618,115,Thor,6.6,6525
130,150000000,13053,41.845878,309979994,98,Bolt,6.3,1750
131,150000000,19585,26.710398,292817841,88,G-Force,5.1,510
132,150000000,57165,44.927635,301000000,99,Wrath of the Titans,5.5,1431
133,150000000,62213,50.306728,245527149,113,Dark Shadows,5.7,2320
134,150000000,177677,114.522237,682330139,131,Mission: Impossible - Rogue Nation,7.1,3224
135,150000000,7978,21.214571,33400000,102,The Wolfman,5.5,549
136,150000000,5559,29.332905,287594577,91,Bee Movie,5.7,1171
137,150000000,49444,51.247321,665692281,91,Kung Fu Panda 2,6.7,1880
138,150000000,10196,33.769336,318502923,103,The Last Airbender,4.7,1151
139,150000000,956,63.079003,397850012,126,Mission: Impossible III,6.5,2028
141,150000000,50321,12.362599,38992758,88,Mars Needs Moms,5.5,199
142,149000000,11619,22.550135,64459316,85,Flushed Away,6,874
147,140000000,36669,54.159392,431971116,133,Die Another Day,5.8,1092
148,144000000,43074,66.21806,229147509,116,Ghostbusters,5.3,2142
150,140000000,608,91.332849,441818803,88,Men in Black II,6,3114
151,70000000,2310,35.601665,195735876,115,Beowulf,5.5,841
152,145000000,140300,56.747978,521170825,95,Kung Fu Panda 3,6.7,1603
153,145000000,56292,77.77477,694713380,133,Mission: Impossible - Ghost Protocol,6.8,3972
154,145000000,81188,61.788035,306941670,97,Rise of the Guardians,7.1,1922
155,100000000,7552,25.159168,202026112,90,Fun with Dick and Jane,5.9,627
157,140000000,147441,101.599427,268031828,150,Exodus: Gods and Kings,5.6,1921
159,139000000,557,82.502566,821708551,121,Spider-Man,6.8,5265
160,145000000,82702,100.21391,609123048,102,How to Train Your Dragon 2,7.6,3106
163,130000000,13183,64.798873,185258983,163,Watchmen,7,2811
169,140000000,1771,74.506246,370569774,124,Captain America: The First Avenger,6.6,7047
170,135000000,36643,39.604363,361832400,128,The World Is Not Enough,6,862
171,150000000,8619,36.973031,212011111,138,Master and Commander: The Far Side of the World,6.9,790
173,130000000,65759,17.7735,150406466,100,Happy Feet Two,5.8,373
175,140000000,267935,44.19092,183345589,120,The BFG,6,1000
176,135000000,281957,100.635882,532950503,156,The Revenant,7.3,6396
177,135000000,77950,44.765377,282570682,96,Turbo,6.1,1074
178,135000000,44896,29.91353,245724603,107,Rango,6.6,2051
180,70000000,2503,45.381501,442824138,115,The Bourne Ultimatum,7.3,2888
181,130000000,9502,84.689648,631744560,90,Kung Fu Panda,6.9,3145
182,130000000,102899,120.09361,519311965,117,Ant-Man,7,5880
183,130000000,101299,76.310119,847423452,146,The Hunger Games: Catching Fire,7.4,6495
184,135000000,228161,63.473086,368871007,94,Home,6.8,1519
188,110000000,27576,48.829437,293329073,100,Salt,6.2,2093
189,125000000,86834,46.115758,362637473,139,Noah,5.6,2350
190,130000000,17578,89.938296,371940071,107,The Adventures of Tintin,6.7,2061
196,130000000,38055,68.757242,321887208,95,Megamind,6.7,1918
197,125000000,671,109.984351,976475550,152,Harry Potter and the Philosopher's Stone,7.5,7006
198,130000000,49524,39.448066,61648500,96,R.I.P.D.,5.4,1260
199,140000000,22,271.972889,655011224,143,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985
200,125000000,131631,206.227151,752100229,123,The Hunger Games: Mockingjay - Part 1,6.6,5584
201,125000000,591,45.313197,767820459,149,The Da Vinci Code,6.5,2704
202,103000000,172385,42.40024,500188435,102,Rio 2,6.3,978
204,125000000,51497,7.255718,626137675,130,Fast Five,7.1,2438
205,125000000,58574,81.499621,334615000,129,Sherlock Holmes: A Game of Shadows,7,3886
206,125000000,18823,47.686442,232713139,106,Clash of the Titans,5.6,2233
209,130000000,49040,90.33681,276572938,120,The Bourne Legacy,6,2651
211,123000000,8871,45.419668,345141403,104,How the Grinch Stole Christmas,6.2,1386
212,125000000,435,41.380094,544272402,124,The Day After Tomorrow,6.2,2392
213,125000000,955,54.931334,546388105,123,Mission: Impossible II,5.9,1928
216,120000000,87827,51.328145,609016565,127,Life of Pi,7.2,5797
217,110000000,1250,46.834704,228738393,114,Ghost Rider,5.2,1712
218,120000000,324668,62.641286,415484914,123,Jason Bourne,5.9,2341
220,130000000,70981,68.889395,403170142,124,Prometheus,6.3,5080
224,120000000,97020,66.757869,242688965,102,RoboCop,5.7,2342
225,120000000,7459,17.060695,93945766,135,Speed Racer,5.7,354
226,120000000,42888,11.137655,48668907,121,How Do You Know,4.9,223
227,117000000,37834,44.906918,261930431,109,Knight and Day,5.9,1547
228,120000000,75612,67.698004,286168572,124,Oblivion,6.4,4800
229,113000000,1895,44.108427,850000000,140,Star Wars: Episode III - Revenge of the Sith,7.1,4116
230,120000000,1894,43.987061,649398328,142,Star Wars: Episode II - Attack of the Clones,6.4,3992
231,115000000,585,106.815545,562816256,92,"Monsters, Inc.",7.5,5996
232,120000000,76170,15.953444,415440673,126,The Wolverine,6.3,4053
233,115000000,1893,54.035265,924317558,136,Star Wars: Episode I - The Phantom Menace,6.3,4432
234,135000000,49519,64.183321,585178928,98,The Croods,6.8,2399
237,115000000,290595,60.467984,164602163,114,The Huntsman: Winter's War,6,1523
238,125000000,98566,143.350376,477200000,101,Teenage Mutant Ninja Turtles,5.8,2636
239,105000000,49047,110.153618,716392705,91,Gravity,7.3,5751
241,135000000,308531,39.873791,245623848,112,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963
242,120000000,166424,38.126095,167977596,100,Fantastic Four,4.4,2278
244,110000000,254128,100.412364,470490832,114,San Andreas,6,2968
245,110000000,714,42.887121,333011068,119,Tomorrow Never Dies,6,925
247,110000000,163,76.840712,362744280,125,Ocean's Twelve,6.4,2124
249,110000000,262500,103.718387,295238201,119,Insurgent,6.2,3829
252,120000000,40805,31.703608,227817248,119,The Green Hornet,5.5,1251
253,110000000,53182,71.510596,337580051,102,300: Rise of an Empire,6.1,2397
254,110000000,41513,36.65422,563749323,103,The Smurfs,5.5,1179
255,110000000,13700,19.625972,103951461,76,Home on the Range,5.7,389
256,110000000,262504,86.105615,179246868,121,Allegiant,5.9,1998
257,110000000,39254,37.195046,299268508,127,Real Steel,6.6,2692
258,105000000,77931,32.473628,347434178,105,The Smurfs 2,5.5,695
260,110000000,80274,45.94834,125537191,114,Ender's Game,6.6,2303
262,93000000,120,138.049577,871368364,178,The Lord of the Rings: The Fellowship of the Ring,8,8705
267,130000000,1495,44.490453,211643158,144,Kingdom of Heaven,6.6,1157
269,105000000,10198,62.479574,267045765,97,The Princess and the Frog,6.7,1247
270,108000000,286217,167.93287,630161890,141,The Martian,7.6,7268
271,126000000,1635,37.68056,162949164,136,The Island,6.5,1770
277,150000000,36557,88.935165,599045960,144,Casino Royale,7.3,3855
280,80000000,11322,33.691694,214104620,140,Public Enemies,6.5,1344
281,100000000,4982,42.361215,266465037,157,American Gangster,7.4,1502
283,100000000,18487,40.597856,150166126,106,The Taking of Pelham 1 2 3,6.2,954
284,100000000,39451,32.389353,310650585,98,Little Fockers,5.4,1060
285,100000000,27581,24.399642,170432927,107,The Other Guys,6.1,1383
286,100000000,9268,24.507987,242295562,115,Eraser,5.6,543
287,100000000,68718,82.121691,425368238,165,Django Unchained,7.8,10099
290,100000000,76163,53.732892,312573423,103,The Expendables 2,6.1,2896
292,100000000,2486,30.863434,249288105,104,Eragon,4.9,967
293,100000000,16523,31.586215,100086793,101,Where the Wild Things Are,6.4,572
295,100000000,37710,41.426678,278731369,103,The Tourist,6,1699
296,100000000,9946,20.652943,211989043,121,End of Days,5.5,482
298,100000000,106646,95.007934,392000694,180,The Wolf of Wall Street,7.9,6571
301,102000000,83542,73.872343,130482868,172,Cloud Atlas,6.6,2977
302,80000000,41216,37.321848,140073390,97,Legend of the Guardians: The Owls of Ga'Hoole,6.5,703
307,90000000,138103,61.025639,206172544,127,The Expendables 3,6.1,1795
308,105000000,257088,33.507289,133718711,114,Point Break,5.5,783
310,100000000,205775,50.767332,93820758,122,In the Heart of the Sea,6.5,1276
312,100000000,22972,30.254021,94882889,115,Green Zone,6.4,717
313,99000000,227973,34.308098,246233113,88,The Peanuts Movie,6.5,604
316,100000000,3131,46.160048,193772504,167,Gangs of New York,7.1,1910
318,85000000,9408,23.230851,149044513,85,Surf's Up,5.9,601
323,100000000,37786,18.325897,288347692,146,Sex and the City 2,5.4,426
325,95000000,57800,65.229868,877244782,88,Ice Age: Continental Drift,6.2,2672
326,95000000,150689,101.187052,543514353,105,Cinderella,6.7,2374
327,65000000,7980,29.257137,93525586,136,The Lovely Bones,6.6,1065
328,94000000,12,85.688789,940335536,100,Finding Nemo,7.6,6122
329,94000000,122,123.630332,1118888979,201,The Lord of the Rings: The Return of the King,8.1,8064
330,79000000,121,106.914973,926287400,179,The Lord of the Rings: The Two Towers,8,7487
331,95000000,68737,63.628459,114178613,102,Seventh Son,5.2,957
335,93000000,61791,138.433168,482860185,105,Rise of the Planet of the Apes,7,4347
337,92000000,47964,65.402595,304654182,98,A Good Day to Die Hard,5.2,3493
339,92000000,9806,77.817571,631442092,115,The Incredibles,7.4,5152
342,90000000,607,104.121555,589390539,98,Men in Black,6.9,4412
343,90000000,863,73.575118,497366869,92,Toy Story 2,7.3,3806
347,100000000,22794,46.781182,242988466,90,Cloudy with a Chance of Meatballs,6.5,1747
348,90000000,8355,69.457898,886686817,94,Ice Age: Dawn of the Dinosaurs,6.5,2271
351,90000000,1422,63.429157,289847354,151,The Departed,7.9,4339
353,92000000,7446,43.192048,188072649,107,Tropic Thunder,6.5,1667
354,90000000,65754,47.651083,232617430,158,The Girl with the Dragon Tattoo,7.2,2434
356,90000000,10528,57.834787,524028679,128,Sherlock Holmes,7,5766
357,100000000,271969,29.608322,94061311,125,Ben-Hur,5.3,621
358,120000000,10865,51.548589,186053725,95,Atlantis: The Lost Empire,6.7,1224
359,51059418.94,258509,27.867368,233755553,92,Alvin and the Chipmunks: The Road Chip,5.8,428
361,90000000,10661,40.597344,201596308,113,You Don't Mess with the Zohan,5.5,1048
362,88000000,257344,140.849495,243637091,105,Pixels,5.6,2513
365,90000000,686,55.249434,171120329,150,Contact,7.2,1308
367,80000000,179,18.69984,162944923,128,The Interpreter,6.2,392
368,90000000,76285,40.262261,174578751,106,Percy Jackson: Sea of Monsters,5.9,1648
370,90000000,291805,51.535701,334901337,129,Now You See Me 2,6.7,3235
374,90000000,46195,46.200042,484635760,96,Rio,6.5,2166
380,88000000,921,24.100863,108539911,144,Cinderella Man,7.3,616
382,87000000,4464,14.824166,148336445,141,Seabiscuit,6.7,216
385,100000000,9836,37.272385,384335608,108,Happy Feet,5.9,1410
386,75000000,2502,53.213931,288500217,108,The Bourne Supremacy,7.2,2825
388,85000000,161,60.929352,450717150,116,Ocean's Eleven,7.2,3783
389,75000000,52451,36.605246,132274484,110,The Three Musketeers,5.6,924
390,85000000,76492,56.257411,358375603,91,Hotel Transylvania,6.8,2566
391,85000000,4523,29.21998,340487652,107,Enchanted,6.6,1449
392,85000000,59961,34.773106,208076205,115,Safe House,6.3,1345
394,75000000,59108,36.743324,152930623,104,Tower Heist,5.8,932
395,85000000,1581,44.967453,194168700,136,The Holiday,6.7,1225
397,85000000,22897,16.479851,219103655,121,It's Complicated,6.2,360
398,85000000,298,42.069993,311312624,122,Ocean's Thirteen,6.5,1999
399,85000000,7484,26.61951,197309027,83,Open Season,6.1,656
400,85000000,157350,80.316463,288747895,139,Divergent,6.9,4663
402,85000000,10159,24.107835,80916492,104,The Rundown,6.4,514
404,85000000,1904,16.595874,162242962,145,Memoirs of a Geisha,7.3,652
405,85000000,9615,8.282876,158468292,104,The Fast and the Furious: Tokyo Drift,6.1,1705
406,51059418.94,51052,19.83683,33400000,97,Arthur Christmas,6.7,333
407,90000000,297,36.069611,142940100,178,Meet Joe Black,6.9,1147
408,85000000,9884,18.827753,78382433,108,Collateral Damage,5.5,427
411,60000000,22538,38.885195,47664559,112,Scott Pilgrim vs. the World,7.2,2126
415,50000000,49049,57.673932,41037742,95,Dredd,6.6,1940
418,85000000,39691,11.77398,112483764,82,Cats & Dogs 2 : The Revenge of Kitty Galore,4.9,119
419,85000000,8247,21.218,222231186,88,Jumper,5.9,1799
423,80000000,310,109.684788,484572835,101,Bruce Almighty,6.4,3012
424,80000000,27578,77.580661,274470394,103,The Expendables,6,2926
425,80000000,954,75.290998,457696359,110,Mission: Impossible,6.7,2631
426,75000000,70160,68.550698,691210692,142,The Hunger Games,6.9,9455
427,80000000,45243,58.040149,254455986,102,The Hangover Part II,6.2,3739
433,84000000,146216,44.34333,33400000,116,RED 2,6.4,1526
435,75000000,55301,23.473004,342695435,87,Alvin and the Chipmunks: Chipwrecked,5.4,484
436,80000000,109418,45.589568,246984278,100,Grown Ups 2,5.8,1155
437,80000000,11665,23.496054,230685453,110,Get Smart,6,1051
439,80000000,11324,81.914696,294804195,138,Shutter Island,7.8,6336
445,80000000,50546,37.02665,214918407,117,Just Go with It,6.3,1543
452,80000000,2300,36.125715,250200000,88,Space Jam,6.5,1288
458,80000000,41515,11.187696,201584141,80,Yogi Bear,5.2,220
460,80000000,38317,27.46264,169852759,102,Zookeeper,5.3,498
466,80000000,2135,25.978555,123729176,96,The Time Machine,5.8,631
469,75000000,1656,31.054334,142400065,129,The Legend of Zorro,5.9,893
473,70000000,75,44.090535,101371017,106,Mars Attacks!,6.1,1509
476,80000000,19959,36.664991,122444772,89,Surrogates,5.9,1195
479,80000000,77951,10.088006,126546518,87,Walking With Dinosaurs,5.2,133
482,80000000,10197,9.357734,53825515,112,Nine,5.1,165
486,90000000,274854,52.612025,146936910,106,The Last Witch Hunter,5.7,1316
489,51059418.94,36970,10.706613,19406406,84,Oceans,7.3,111
490,80000000,10077,7.342892,5989640,110,A Sound of Thunder,4.8,111
493,60000000,453,59.248437,313542341,135,A Beautiful Mind,7.7,3009
494,45000000,8587,90.457886,788241776,89,The Lion King,8,5376
495,79000000,72545,40.723459,355692760,94,Journey 2: The Mysterious Island,5.8,1030
499,79000000,71880,22.132418,149673788,91,Jack and Jill,4.1,604
501,64000000,309809,35.384423,97571250,92,The Little Prince,7.6,756
504,75000000,328111,31.482872,875958308,87,The Secret Life of Pets,5.9,3462
506,76000000,93456,136.886704,970761885,98,Despicable Me 2,7,4637
510,76000000,9693,35.387874,69959751,109,Children of Men,7.4,2071
512,75000000,8909,73.82289,258270008,110,Wanted,6.4,2528
514,80000000,950,85.115058,660940780,91,Ice Age: The Meltdown,6.5,2951
516,50000000,2976,31.160542,90450008,117,Hairspray,6.5,709
520,80000000,38365,38.864027,271430189,102,Grown Ups,6,1705
521,60000000,594,57.753914,219417255,128,The Terminal,7,1910
523,75000000,11678,13.318744,215663859,124,Vertical Limit,5.9,283
524,75000000,6538,18.70031,119000410,102,Charlie Wilson's War,6.5,338
526,70000000,1125,14.486311,154937680,134,Dreamgirls,6.6,284
530,75000000,37821,23.004607,98159963,100,Killers,5.7,772
533,75000000,9297,36.368839,140175006,91,Monster House,6.3,874
537,75000000,37958,37.917002,226904017,110,Immortals,5.7,880
541,75000000,9425,11.873856,14567883,99,Soldier,6.1,221
546,74000000,211672,875.581305,1156730962,91,Minions,6.4,4571
547,82000000,23629,39.127082,89792502,110,Sucker Punch,5.9,1623
549,75000000,10153,18.65988,13100000,134,Sphere,5.8,476
550,73000000,153518,45.720894,349779543,97,The Angry Birds Movie,5.9,1022
551,70000000,8676,21.789615,111231041,112,Fool's Gold,5.4,444
552,75000000,20829,20.199057,61458982,146,Funny People,5.7,390
553,70000000,4349,26.123705,86658558,110,The Kingdom,6.5,513
554,72500000,9718,12.599836,162966177,116,Talladega Nights: The Ballad of Ricky Bobby,6.2,491
558,75000000,35,46.875375,527068851,87,The Simpsons Movie,6.9,2264
565,150000000,809,47.320801,919838758,93,Shrek 2,6.7,2988
566,120000000,920,82.643036,461983149,117,Cars,6.6,3877
568,70000000,7451,46.217769,277448382,124,xXx,5.8,1424
569,74000000,228165,36.952268,311594032,93,The SpongeBob Movie: Sponge Out of Water,5.8,719
571,70000000,16869,72.595961,319131050,153,Inglourious Basterds,7.9,6430
574,80000000,9257,34.052253,116643346,117,S.W.A.T.,5.8,770
577,70000000,395,42.957216,171183863,101,AVP: Alien vs. Predator,5.5,1217
578,75000000,23398,29.412262,443140005,88,Alvin and the Chipmunks: The Squeakquel,5.4,666
582,70000000,44943,49.199234,202466756,116,Battle: Los Angeles,5.5,1448
585,66000000,57212,29.505574,177584879,146,War Horse,7,992
586,70000000,152760,43.873266,154984035,118,The Monuments Men,5.8,1523
588,70000000,33909,23.25645,134748021,133,Wall Street: Money Never Sleeps,5.8,493
591,70000000,2270,48.032734,135560026,127,Stardust,7.1,1184
593,70000000,44564,14.780634,67112664,111,The Dilemma,5.2,304
597,70000000,52520,58.401204,160112671,88,Underworld: Awakening,6.1,1862
598,75000000,80585,23.515938,59418613,123,Rock of Ages,6,385
604,75000000,12610,10.54544,13596911,95,Osmosis Jones,5.9,228
605,70000000,59981,6.682006,18662027,88,Legends of Oz: Dorothy's Return,5.9,43
606,70000000,201088,46.832372,17752940,133,Blackhat,5.1,826
607,70000000,5137,24.664776,57958696,107,Sky Captain and the World of Tomorrow,5.7,439
609,50000000,107846,44.478043,122915111,115,Escape Plan,6.7,1659
611,68000000,4614,22.392544,193000000,124,The Sum of All Fears,5.9,437
612,68000000,24021,107.069763,698491347,124,The Twilight Saga: Eclipse,5.8,2301
614,69000000,20352,113.858273,543513985,95,Despicable Me,7.1,6478
617,70000000,26428,18.888806,39041505,127,Agora,6.9,395
619,36000000,48988,27.11589,83160734,105,Hall Pass,5.4,611
621,80000000,300673,28.223664,52099090,114,The Finest Hours,6.3,588
622,70000000,12113,37.507136,113280098,128,Body of Lies,6.5,895
623,69000000,38778,11.023691,86387857,114,Dinner for Schmucks,5.5,531
625,66000000,1844,25.877794,212404396,112,Entrapment,6,602
631,59000000,425,99.561972,383257136,81,Ice Age,7.1,3857
632,68000000,6171,26.792794,75715436,136,Dreamcatcher,5.3,567
634,63000000,603,104.309993,463517383,136,The Matrix,7.9,8907
637,61000000,82695,48.356214,441809770,157,Les Misérables,7.1,1884
638,65000000,9489,28.540267,250821495,119,You've Got Mail,6.3,838
641,65000000,41733,43.865294,211780824,95,Due Date,6.2,1685
642,65000000,227306,43.055253,163442937,137,Unbroken,7.3,1400
643,65000000,5551,15.772081,128884132,130,Space Cowboys,6.3,403
646,65000000,4244,18.281798,69700000,104,The Kid,6,238
649,65000000,76493,31.349143,179379533,83,The Dictator,5.9,1743
650,65000000,345,27.870312,162091208,159,Eyes Wide Shut,7.1,1234
652,50100000,256591,59.634029,153962963,105,Focus,6.7,2542
653,65000000,59962,38.994297,156974557,103,This Means War,5.9,1389
654,65000000,36648,49.660055,128905366,123,Blade: Trinity,5.7,1252
657,65000000,71679,6.227675,240159255,95,Resident Evil: Retribution,5.6,1600
658,45000000,10483,42.57877,73762516,105,Death Race,6,1175
662,63000000,550,146.757391,100853753,139,Fight Club,8.3,9413
666,65000000,100241,31.324734,71154592,92,"I, Frankenstein",5,687
668,43000000,9947,28.613892,56681566,97,Elektra,4.8,575
669,65000000,189,85.428395,39407616,102,Sin City: A Dame to Kill For,6.3,1286
671,55000000,253412,60.246978,203427584,121,Everest,6.7,1772
672,50000000,1427,42.551902,132180323,147,Perfume: The Story of a Murderer,7.1,1165
673,63000000,818,40.137264,296655431,94,Austin Powers in Goldmember,5.9,979
674,65000000,16577,24.857079,44091067,94,Astro Boy,6.1,409
675,63000000,329,40.413191,920100000,127,Jurassic Park,7.6,4856
679,64000000,9072,12.421504,101595121,98,Little Man,5.3,261
680,62000000,3536,18.096884,127666415,116,U-571,6.1,340
682,62000000,12177,13.218008,41819064,87,The Love Guru,4.3,242
684,44000000,273248,68.717016,155760117,167,The Hateful Eight,7.6,4274
686,63000000,50359,16.791058,183953723,95,Hop,5.5,331
687,65000000,1271,65.197968,422610419,117,300,7,4997
688,80000000,693,32.829538,516642939,115,Meet the Fockers,6.1,1373
689,60000000,14306,30.951203,244082376,115,Marley & Me,6.9,1343
690,60000000,497,103.698022,284600000,189,The Green Mile,8.2,4048
